No.,Clause,Label,Standard_Body,Standard_No,Clause_No,Year,Page,Justification
1,"""This product provides you with coverage for the contents of your home for the loss or damage caused by fire, lightning, explosions...""",1,AAOIFI,Shariah Standard No. 26 (Islamic Insurance),4/1,2015,642,"The clause is compliant because it provides mutual protection against defined real risks, which aligns with the core principles of Takaful cooperation."
2,"""...the contents of your home for the loss or damage caused by... theft, hurricane, earthquake, flood...""",1,AAOIFI,Shariah Standard No. 26 (Islamic Insurance),4/1,2015,642,The inclusion of pure and catastrophic risks is compliant as Shariah recognizes the validity of mitigating unexpected natural disasters through a pool fund.
3,"""The product is for Dwelling with Class 1A Construction only.""",1,IFSB,IFSB-14 (Risk Management for Takaful),3.1.2,2013,14,This risk selection criteria is compliant because setting clear underwriting parameters eliminates excessive uncertainty (Gharar) in risk admission.
4,"""Hibah refers to a transfer of ownership of an asset from a donor to a recipient without any consideration.""",1,AAOIFI,Shariah Standard No. 26 (Islamic Insurance),5/1,2015,645,"The definition is compliant as it accurately reflects the Shariah definition of a unilateral, voluntary gift without commercial counter-exchange."
5,"""Under this product, the benefits payable from General Takaful Fund (""GTF"") is based on Hibah.""",1,AAOIFI,Shariah Standard No. 26 (Islamic Insurance),5/1/2002,2015,646,Utilizing Hibah as the mechanism to distribute the claims from the mutual pool fund ensures compliance with charity-based financial framework.
6,"""The Nominee may receive the Benefit payable under this product if the Nominee is a beneficiary under conditional Hibah.""",1,IFSA,Islamic Financial Services Act 2013,"Schedule 9, Para 5",2013,248,The execution of conditional Hibah for Takaful nomination is compliant as it serves as a valid estate planning tool approved by regulatory standards.
7,"""Ju'alah refers to a contract where a party offers a specified reward to another party who achieved a determined result.""",1,AAOIFI,Shariah Standard No. 26 (Islamic Insurance),5/3,2015,648,The definition is compliant as it correctly establishes the legal framework for a reward-based contract applied to investment or fund management performance.
8,"""...allows Syarikat Takaful Malaysia Am Berhad... to receive a portion of the distributable surplus arising from the GTF as a performance incentive...""",1,AAOIFI,Shariah Standard No. 26 (Islamic Insurance),5/3/2002,2015,649,Rewarding the operator with a surplus share based on Ju'alah is compliant because it incentivizes efficient management of the risk fund.
9,"""Qard refers to a contract of lending money by a lender to a borrower where the latter is bound to repay an equivalent replacement amount...""",1,AAOIFI,Shariah Standard No. 19 (Loan/Qard),2/1,2015,482,The definition is compliant because it accurately frames Qard as a non-interest-bearing benevolent loan that strictly requires principal repayment.
10,"""...Takaful Malaysia will lend an amount of money to the GTF without interest if the GTF is in deficit.""",1,IFSA,Islamic Financial Services Act 2013,Section 95,2013,112,Providing an interest-free loan (Qard) by the operator to cover fund deficits is a mandatory requirement to safeguard the interests of participants.
11,"""Tabarru' means donation for charitable purposes.""",1,AAOIFI,Shariah Standard No. 26 (Islamic Insurance),2/1,2015,640,"The definition is compliant as it removes the commercial exchange element, thereby distinguishing Takaful from conventional insurance."
12,"""Under this product, the participant donates a portion of the contribution to the GTF to help other participants.""",1,AAOIFI,Shariah Standard No. 26 (Islamic Insurance),3/2,2015,641,The concept of pooling donations to assist peers in distress is compliant as it fulfills the Shariah requirement of mutual solidarity (Taa'wun).
13,"""Tabarru' takes into effect when you contribute to the GTF.""",1,IFSA,Islamic Financial Services Act 2013,"Schedule 9, Para 2",2013,245,Specifying the immediate effect of the donation upon contribution is compliant because it legalizes the separation of risk ownership.
14,"""Wakalah refers to a contract where a party, as principal authorizes another party as his agent to perform a particular task...""",1,AAOIFI,Shariah Standard No. 23 (Agency),2/1,2015,562,The clause is compliant as it properly outlines the baseline authority and relationship between a principal and an authorized agent.
15,"""...with or without the imposition of a fee.""",1,AAOIFI,Shariah Standard No. 23 (Agency),4/1,2015,565,The statement is compliant since Shariah allows an agency contract to be executed either voluntarily or for a pre-determined service fee.
16,"""...the participant authorizes Takaful Malaysia to manage the GTF and in return, Takaful Malaysia will receive the Wakalah fee.""",1,AAOIFI,Shariah Standard No. 26 (Islamic Insurance),5/1/2001,2015,645,The appointment of the operator as a paid agent (Wakil) to manage the risk pool is compliant with the standard Wakalah Takaful model.
17,"""This product covers: i) Loss or damage to your home contents due to fire, lightning and explosion caused by gas used for domestic purposes""",1,AAOIFI,Shariah Standard No. 26 (Islamic Insurance),4/2,2015,643,"The coverage is compliant because the insured perils are material, specific, and do not involve any elements of gambling or pure speculation."
18,"""ii) Loss or damage to your home contents by aircraft, road vehicles or animals...""",1,AAOIFI,Shariah Standard No. 26 (Islamic Insurance),4/2,2015,643,"This clause is compliant because it addresses external physical risks that are beyond the control of the participant, qualifying them for indemnification."
19,"""...bursting or overflowing of water tanks or pipes, theft by forcible and violent entry, windstorm, earthquake and flood""",1,IFSB,IFSB-14 (Risk Management for Takaful),3.2.1,2013,18,The inclusion of internal and external property damage perils is compliant as part of sound risk management and explicit loss classification.
20,"""iii) Damage to mirrors""",1,AAOIFI,Shariah Standard No. 26 (Islamic Insurance),4/3,2015,644,Including ancillary household items under the main property coverage is compliant since they represent legitimate asset values owned by the participant.
21,"""iv) Servant's property""",1,AAOIFI,Shariah Standard No. 26 (Islamic Insurance),4/3,2015,644,Extending protection to a dependent party's belongings within the household is compliant because it promotes social responsibility and welfare.
22,"""v) Liability to third parties for accidents in your house""",1,AAOIFI,Shariah Standard No. 26 (Islamic Insurance),4/4,2015,644,Third-party liability protection (Takaful Mas'uliyyah) is compliant because Shariah recognizes financial indemnity against torts and accidents.
23,"""vi) Compensation for fatal injury occurring by visible violence caused by thieves or by fire""",1,AAOIFI,Shariah Standard No. 26 (Islamic Insurance),4/4,2015,644,Providing ancillary personal accident benefits within a property fund is compliant since it directly addresses losses stemming from the main peril.
24,"""vii) Rent Coverage""",1,AAOIFI,Shariah Standard No. 26 (Islamic Insurance),4/2,2015,643,Alternative accommodation or loss of rent coverage is compliant because it compensates for actual consequential financial loss following an accident.
25,"""viii) Additional Coverage: a) Deterioration of food in the freezer b) Cost of replacing locks/keys""",1,AAOIFI,Shariah Standard No. 26 (Islamic Insurance),4/3,2015,644,"These secondary coverages are compliant because the underlying assets and operational costs are legitimate, quantifiable, and transparent."
26,"""c) Cost of replacing lost legal documents d) Cleaning services/laundry cost""",1,AAOIFI,Shariah Standard No. 26 (Islamic Insurance),4/3,2015,644,The inclusion of restoration expenses is compliant as it serves to return the affected participant back to their pre-loss financial position.
